,Address,Phone,Website,Hours of Service
"Society of St. Vincent de Paul - Lima, OH","686 South Main Street Lima, OH 45804",(419) 224-3569,,
Society of St. Vincent de Paul at Saint Catherine of Genoa Church,"520 Linden Boulevard Brooklyn, NY 11203",(718) 282-5568,,"Monday, Tuesday, Wednesday, Thursday, Friday 9:00am - 5:00pm"
Soddy Daisy Food Bank,"255 Depot Street Soddy Daisy, TN 37379",(423) 332-1148,,
SoHo Partnership Inc.,"114 Greene Street New York, NY 10012",(212) 274-0550,www.sohonyc.org,
Soil Born Farm,"PO Box 661175 Sacramento, CA 95866",(916) 363-9685,www.soilborn.org,
Sojourner Truth House,"2136 Crotona Parkway Bronx, NY 10460",(718) 933-2600,,
"Sojourners' Place, Inc.","2901 Northeast Blvd. Wilmington, DE 19802",(302) 764-4713,http://www.sojournersplace.org/,
Solanco Food Bank,"349 buck rd. Quarryville, PA 17566",(717) 786-4308,,
Solar Cookers International,"1919 21st Street Sacramento, CA 95814",(916) 455-4499,,
Soldiers of faith/ Antioch Church,"2619 W. Hunting Park Ave Philadelphia, PA 19129",(215) 591-5619 x215,,Sa 11:00 AM-1:00 PM
Soldiers of the Lord - Food Pantry,"2101 North Front Street Philadelphia, PA 19122",(267) 319-1369,,M 10:00 AM-2:00 PM;  
Solid Ground Washington,"1501 North 45th Street Seattle, WA 98103",(206) 694-2772,http://www.solid-ground.org/,
Solid Rock Baptist Church,"114-52 Sutphin Boulevard Queens, NY 11435",(718) 332-1084,,
Solid Rock Seventh Day Adventist Church,"52-05 Rockaway Beach Boulevard Far Rockaway, NY 11691",(718) 474-9306,, 2nd & 4th Tuesday of month 10-11:30  
Solid Rock UMC,"199 East Tabor Road Philadelphia, PA 19120",(215) 329-2851,,M 10:00 AM-12:00 PM;  T 10:00 AM-12:00 PM;  W 10:00 AM-12:00 PM;  
Solomon Temple,"602 West Erie Ave Philadelphia, PA 19140",(215) 223-1561,,W 9:30 AM-12:00 PM
Solon Food Closet,"corner of School and Pleasant Streets Solon, ME 04979",(207) 643-2855,,"1st or 2nd??? and 4th Thurs and Fri 9-3
"
Solutions Community Development Corporation (SCDC),"254 Maple Street Holyoke, MA 1040",(413) 315-6017,,
Someone Cares Mission,"1301 Benton Street St. Louis, MO 63106",(314) 621-6703,,
Somerton Community Center,"500-510 Somerton Avenue Philadelphia, PA 19116",(215) 673-1117,,"Monday		9:00 AM		12:00 PM Wednesday	9:00 AM	12:00 PM Friday	9:00 AM	12:00 PM"
Somerton Food Bank - Food Pantry,"510 Somerton Avenue Philadelphia, PA 19116",(215) 673-1117,,M 9:30 AM-12:00 PM;  W 9:30 AM-12:00 PM;  F 9:30 AM-12:00 PM;  
Somerton Interfaith Food Bank,"510 Somerton Ave. Philadelphia, PA 19116",(215) 673-1117,,
Somerton Interfaith Food Pantry 2,"500-510 Somerton Avenue Philadelphia, PA 19116",(215) 673-1117 x215,,"Monday		9:30 PM		12:00 PM Wednesday	9:30 PM	12:00 PM Friday	9:30 PM	12:00 PM"
Somerville Community Corporation,"337 Somerville Avenue, 2nd Floor Somerville, MA 2143",(617) 776-5931,www.somervillecdc.org,
Somerville Homeless Coalition,"P.O. Box 440436 Somerville, MA 2144",(617) 623-6111,,
Sonoma-Napa Action Project (SNAP),"P.O. Box 7536 Santa Rosa, CA 95407",(707) 523-9510,,
Sonrise Food Bank,"284 Winterberry Road Galax, VA 24333",(540) 236-8304,,
Sonrise Indpendent Baptist,"8375 River Road South Port, NC 28461",(910) 845-9379,," Wed 5-8:30pm,Sun 9-12:30pm, 5-7:30pm  "
Sons Of Abraham,"5414-15 Haverford Avenue Philadelphia, PA 19139",(215) 724-5931 x267,,Call for appointment
Sorrowful Mother Church Food Pantry,"165 Grace St Wheatfield, IN 46392",(219) 828-7611,,
"SOS Crystal Springs Food Pantry, Inc.","403 N. Jackson Street Crystal Springs, MS 39059",(601) 892-7527,,
SOS Food Bank,"248 W. Merriweather New Braunfels, TX 78130",(830) 629-3663,,
SOS Food Pantry,"196 Lincoln Ave West Milford, NJ 7480",(845) 699-8695,,
SOS Marysville Food Pantry,"210 Huron Blvd Marysville, MI 48040",(810) 364-6333,https://www.facebook.com/sosmarysville.pantry,
Soulful Blessings - Food Pantry,"640 Race Street Bristol, PA 19007",(215) 788-1440,,T 9:30 AM-12:00 PM;  W 4:30 PM-7:00 PM;  TH 4:30 PM-7:00 PM;  
Soundview Presbyterian Church,"760 Soundview Ave. Bronx, NY 10473",(718) 842-2287,,Every other Wednesday 8am - 9am
SOURCES Community Network Services,"420 N. Brandon Ave Celina, OH 45822",(419) 584-1550 x800,www.sourcescns.homestead.com/SOURCES.html, Mon-Fri8-5  
South Bay Community Services,"1124 Bay Blvd, Suite D Chula Vista, CA 91911",(619) 420-3620,www.southbaycommunityservices.org,
South Berwick Food Pantry,"Intersection of Goodwin and Dawson South Berwick, ME 03908",(201) 384-3300 x113,,"Thursday 6:00-7:30pm and                    1st & 3rd Fri. 10:00-11:30am
Twice a month
South Berwick residents
Proof of residence and  income
"
South Brooklyn Local Development Corporation,"267 Smith Street Brooklyn, NY 11231",(718) 852-0328,,
South Brooklyn S.D.A. Church,"42 Prospect PLace Brooklyn, NY 11217",(718) 783-1662,,
South Brunswick Food Pantry,"540 Ridge Road Monmouth Junction, NJ 8852",(732) 329-4000,,
South Carolina Institute on Poverty and Deprivation,"P.O. Box 86 Columbia, SC 29202",(803) 256-7219,,
"South Central Community Action Programs, Inc.","153 North Stratton Street Gettysburg, PA 17325",(717) 334-7634,www.sccap.org,
South Central Food Distributors,"600 N Alameda Street #118 Compton, CA 90221",(310) 635-7938,,
"South Central Iowa Community Action Program, Inc.","1403 N.W. Church Stree Leon, IA 50144",(641) 446-4155,,
South Central WIC Program,"29 Pine Street Southbridge, MA 1550",(508) 765-0139,,
South Corvallis Food Bank,"1750 SW 3rd St. Ste. M Corvallis, OR 97333",(541) 753-4263,,
South Dayton Food Pantry,"327 Pine Street South Dayton, NY 14138",(716) 988-5992,,
"South East Alabama Self-Help Association, Inc. - SEASHA","4201 W Martin Luther King Hwy Tuskegee, AL 36083",(334) 727-2340,,
South End Community Outreach Ministries,"1545 Buchanan Ave SW Grand Rapids, MI 49507",(616) 452-7684,http://www.secomministries.org/,
South Florida Urban Ministries,"11500 NW 12th Ave. Miami, FL 33168",(305) 442-9726,http://www.sflum.org/,
South Gardiner Baptist Church,"641 River Ave South Gardiner, ME 04345",(207) 582-3751,,
South Houston Senior Center,"1007 State St. South Houston, TX 77587",(713) 947-7700,,
South Jersey Dream Center,"15 East 6th Avenue Runnameade, NJ 08080",(856) 371-5789,,3rd T 12:00 PM-2:00 PM;  
South Lake Tahoe Family Resource Center,"3501 B Spruce Ave. South Lake Tahoe, CA 96150",(530) 542-0740,www.southtahoefrc.org, - Monday- Friday 8:00 AM - 4:30 PM  
South Mountain Community Center,"212 E. Alta Vista Road Phoenix, AZ 85040",(602) 262-4874,, Mon - Thur 9 a.m. - 9 p.m.Fridays 9 a.m. - 6 p.m.Saturdays 10 a.m. - 6 p.m.Closed Sundays and holidays  
South Phila. Older Adult Center - CSFP/senior box program,"1430 E. Passyunk Ave. Philadelphia, PA 19147",(215) 685-1697,,First Wednesday- (12pm-3pm)
South Philadelphia H.O.M.E.S Inc.,"1444 Point Breeze Ave Philadelphia, PA 19146",(215) 334-4430,,T & Th 1:00 PM-2:00 PM
South Plains Food Bank,"4612 Locust Avenue Lubbock, TX 79404",(806) 763-3003,http://www.spfb.org/," Normal Business Hours are 9:00 a.m. to 5:00 p.m., Monday - Friday. The South Plains Food Bank observes most major holidays.  "
South Portland Food Cupboard,"130 Thadeus Street South Portland, ME 04106",(207) 874-0379,,"Thursday 8:30-11:30am
Once a month
Open to anyone
proof of income
"
South Providence Neighborhood Ministries,"747 Broad Street Providence, RI 02907",(401) 461-7509,www.spnm.org, Monday-Friday 8:30 - 5:30pm  
South River Food Bank,"48 Washington Street South River, NJ 8882",(732) 257-1999,,
South Road Tabernacle Outreach,"753 Lexington Avenue Brooklyn, NY 11221",(718) 452-2626,,
South Shore Housing Development Corporation,"169 Summer Street Kingston, MA",(781) 422-4216,,
South Texas Food Bank,"1907 Freight St Laredo, TX 78040",(956) 726-3120,http://southtexasfoodbank.org/,
South West Food Pantry,"1020 Logue Street Pittsburgh, PA 15220",(412) 928-5765,,
Southeast Alaska Food Bank,"10020 Crazy Horse Dr. Juneau, AK 99801",(907) 789-6184,http://www.seakfoodbank.org/,"Monday - Friday from 9:30am until 12:30pm
"
Southeast Arizona Food Bank,"401 East Maley Willcox, AZ 85643",(520) 384-4433,," Monday, Wednesday and Friday, 8:00am-3:00pm. Closes at 2:00pm on Fridays,  "
Southeast Community Food Pantry,"5535 SE Rhone Street Portland, OR 97206",(503) 422-1580,,
Southeast Community Services (Community Centers of Indianapolis),"901 Shelby Street Indianapolis, IN 46203",(317) 236-7400,,
"Southeast Development, Inc.","3614 Eastern Avenue Baltimore, MD 21224",(410) 342-3234,,
Southeast Highland Food Pantry,"417 Palomas SE Albuquerque, NM 87108",(505) 256-1682,,
Southeast Missouri Food Bank,"3920 Nash Road PO Box 1688 Cape Girardeau, MO 63702",(573) 651-0400 x1,http://www.stlfoodbank.org/,
"Southeast Nebraska Community Action Council, Inc.","P.O. Box 646 Humboldt, NE 68376",(402) 862-2411,www.senca.org,
Southeast Oregon Regional Food Bank,"773 S. Oregon St Ontario, OR 97914",(541) 889-9206,,
"Southeast Texas Food Bank, Inc.","3845 Martin Luther King Parkway Beaumont, TX 77720",(409) 839-8777,," Monday?Thursday, 8:00 a.m.?5:00 p.m.Friday, 8:00 a.m.?12:00 p.m.  "
SouthEastern Arizona Governments Organization,"118 Arizona Street Bisbee, AZ 85603",(520) 432-5301,www.seago.org,
Southeastern Ohio Regional Food Center,"P.o. Box 29 Logan, OH 43138",(740) 385-6813,,
Southern Baptist Church,"12-16 W. 108 St. New York, NY 10025",(212) 678-9769,,Wednesday 12:30pm-1:30pm
"Southern California Indian Center, Inc.","10175 Slater Ave. Fountain Valley, CA 92708",(714) 962-6673,www.indiancenter.org/,
Southern Development Bank Corporation,"605 Main Street #203 Arkadelphia, AR 71923",(800) 789-3428,https://banksouthern.com/,
Southern Frederick County Food Bank,"4004 Ballenger Creek Pike Frederick, MD 21703",(301) 624-5838,,
Southern Good Faith Fund,"2304 W 29th Avenue Pine Bluff, AR 71603",(870) 535-6233,,
Southern Illinois Food Warehouse,"Rr1, Box 121 A Opdyke, IL 62872",(618) 244-6146,,
Southern Indiana Food Bank,"P.O. Box 588 Columbus, IN 47201",(812) 378-7486,,
Southern Maryland Food Bank,"PO Box 613 Hughesville, MD 20637",(301) 274-0695,,
Southern Mission Ministries,"P.O. Box 55 Hoffman, NC 28347",(910) 281-4898,,
Southern Missionary Baptist Food Pantry,"3143 Midland Ave. Syracuse, NY 13207",(315) 469-0084,,2nd Saturday 8am-12pm
Southern Mutual Help Association,"SMHA New Iberia, LA 70563",(337) 367-3277,www.southernmutualhelp.org/,
Southern Pines United Methodist Church,"175 Midland Road Southern Pines, NC 28387",(910) 682-3518,, last Wed of month 5-6pm  
Southern Rural Development Center,"410 Bost Extension Bldg. Mississippi State, MS 39762",(662) 325-3207,srdc.msstate.edu/,
Southern Sustainable Agriculture Working Group,"4340 Scio Church Road Ann Arbor, MI 48103",(734) 332-9926,www.ssawg.org,
Southern Ute Community Action Program,"151 Locke Mountain Road Durango, CO 81301",(970) 259-8374,,
Southernside Block Partnership & Community Center,"846 West Washington Street Greenville, SC 29601",(864) 232-5651,," -Monday -Friday 8:30 AM - 2:30 PM; Saturday, 10:30 -11:30 AM bag lunches provided.  Meals are served on all holidays.  "
Southland Farmers Market Association,"1308 Factory Place Box 68 Topanga, CA 90290",(310) 481-0167,www.sfma.net/,
Southlight Pathways Division,"2809 Highwoods Boulevard Raleigh, NC 27604",(919) 872-7373,,
Southside Baptist Church,"4904 S Dupont Hwy Dover, DE 19901",(302) 697-2411,http://www.sthside.org/, mon-fri: 9-3  
Southside Church of Christ,"800 Elmira Avenue Durham, NC 27707",(919) 688-3535,,
Southside Church of Christ Soup Kitchen,"1327 W. Colvin St Syracuse, NY 13205",(315) 422-4499,,Saturday 1130am-130pm
Southside Community Land Trust,"109 Somerset Street Providence, RI 2907",(401) 273-9419,www.users.ids.net/~sclt/ and www.southsideclt.org,
Southside Food Pantry,"1603 South Limestone Street Springfield, OH 45505",(937) 323-9348,,
Southside United HDFC (Los Sures),"145 S. 3rd St., Basement Office Brooklyn, NY 11211",(718) 599-1940,,"Tuesday 9am-12pm, 1pm-5pm"
Southwest Butler Food Cupboard,"557 Perry Highway Harmony, PA 16037",(724) 453-4184,http://www.swbfoodcupboard.org/,7 to 8 pm
Southwest Clinic,"850 Delaware Ave., SW Washington, DC 20024",(202) 548-4549,,"Tuesday 8:30 am - 5 pm
Lunch: 12 pm - 1 pm"
Southwest Community Center Food Pantry,"401 South Avenue Syracuse, NY 13204",(315) 474-6823,,Tuesday & Thursday 9am-4pm
"Southwest Georgia Community Action Council, Inc.","1001 First Avenue, SW Moultrie, GA 31768",(229) 985-3610 x1,," Monday - Friday 8-5, EST  "
"Southwest Georgia Resource Center, Inc","170 Charles McCrary Road Sylvester, GA 31791",(229) 776-3917,, -Monday - Saturday 9_00am - 5:00pm  
Southwest Health & Human Services Pipestone County,"1091 North Hiawatha Ave Pipestone, MN 56164",(507) 825-6720,http://www.swmhhs.com/locations/pipeston-county/,Monday – Friday: 8:00 a.m. – 4:30 p.m.
Southwest Health & Human Services Redwood County,"266 E Bridge Street Redwood Falls, MN 56283",(507) 637-4041 x888,http://www.swmhhs.com/locations/redwood-county/,Monday – Friday: 8:00 a.m. – 4:30 p.m.
Southwest Health & Human Services Rock County,"2 Roundwind Rd Luverne, MN 56156",(507) 283-5070,http://www.swmhhs.com/locations/rock-county/,Monday – Friday: 8:00 a.m. – 4:30 p.m.
Southwest Human Development,"2850 North 24th Street Phoenix, AZ 85008",(602) 266-5976,http://www.swhd.org/,
Southwest Michigan Community Action Agency,"185 E Main Street Suite 200 Benton Harbor, MI 49022",(269) 925-9077,www.smcaa.com,
Southwest Senior Center,"6916-23 Elmwood St Philadelphia, PA 19142",(215) 937-1880,,M 8:30 AM-4:00 PM;  T 8:30 AM-4:00 PM;  W 9:30 AM-4:00 PM;  TH 8:30 AM-4:00 PM;  F 8:30 AM-4:00 PM;  
Southwestern Community Action Council,"540 5th Avenue Huntington, WV 25701",(304) 529-2456,http://scacwv.org/,
Southwestern Virginia Second Harvest Food Bank,"1025 Electric Rd. Salem, VA 24153",(540) 342-3011,http://www.swvafoodbank.org/,
Sovereign Councils of theHawaiian Homelands Assembly,"1050 Queen St. # 200 Honolulu, HI 96813",(808) 529-1627,, -MOn-Fri9 to 5pm  
St. Matthew Church Food Pantry,"19 Dora Lane Limerick, ME 04048",(207) 793-2244,,"1st Tues, 2nd Fri, 3rd Tue, 10-12p and 1st Mon. 7:00-9:00pm
Once a month
Limerick, Newfield, Parsonfield residents
No documentation required
"
St. Matthew Manor,"230-242 N. 57th St Philadelphia, PA 19139",(215) 748-3310,,M-F 8:30 AM-4:00 PM
St. Matthew's Church of Christ,"3500 Rosinburg Road Zebulon, NC 27597",(919) 795-5813,,
St. Matthew's-St. Timothy's Church,"26 W. 84th St. New York, NY 10024",(212) 362-6750,,Sunday 2 pm - 3 pm October to June
St. Matthews Roman Church,"1351 Lincoln Pl., 4th Fl. Brooklyn, NY 11213",(718) 774-6747,,Tuesday 9am-12pm
St. Michael,"284 Warwick Street Brooklyn, NY 11207",(718) 647-1818,,
St. Michael's Episcopal,"225 West 99th Street New York, NY 10025",(212) 222-2700,,Saturday 10:00am to 11:30am
St. Michael's Lutheran Church,"2147 E. Cumberland Street Philadelphia, PA 19125",(215) 423-0792,,"1st & 3rd TH 6:15 PM-7:15 PM, 2nd & 4tth TH 11:15 AM-12:15 PM"
St. Michael's Society,"107 W. Marquita San Clemente, CA 92672",(949) 492-5205,,
St. Nicholas Neighborhood Preservation Corp,"11 Catherine Street Brooklyn, NY 11211",(718) 388-5454,www.stnicksnpc.com,
St. Nicholas Tolentine Church,"150-75 Goethals Avenue Jamaica, NY 11432",(718) 969-3226,,Thursday 9am - 12pm
St. Patrick Center,"800 North Tucker St. Louis, MO 63101",(314) 802-0683,,
St. Paul Baptist Church,"1401 North Allen Street Charlotte, NC 28205",(704) 334-5309,,
St. Paul C.M.E. Church - Food Pantry,"1009 West 3rd Street Chester, PA 19013",(610) 874-9966,,T 10:00 AM-12:00 PM;  F 12:00 PM-2:00 PM;  
St. Paul Cathedral Food Pantry,"108 North Dithridge Street Pittsburgh, PA 15213",(412) 621-2134,, M-F 9am-4pm  
St. Paul Chapel Baptist Church,"1217 S. 21st Street Philadelphia, PA 19146",(215) 467-4158 x215,,Sa 10:00 AM-12:00 PM
St. Paul Children's Foundation Food Pantry,"1358 East Richards Tyler, TX 75702",(903) 531-9455,,
St. Paul Church of Christ - Guardian Angel Outreach,"4009 Lake Wilson Road Wilson, NC 27896",(919) 269-2297,,
St. Paul Missionary Baptist Church,"1151 Winstead Avenue Rocky Mount, NC 27804",(252) 443-6329,, Sat 4-5:30  
St. Paul United Methodist Church,"540 Hwy 74 West Rockingham, NC 28379",(910) 997-4420,,
St. Paul's Baptist Church,"1000 Wallace St Philadelphia, PA 19123",(215) 763-1502,,W 11:00 AM-1:30 PM;  
St. Paul's Baptist Church,"1000 Wallace Street Philadelphia, PA 19123",(215) 763-1502,,W & Sa 10:00 AM-2:00 PM
St. Paul's Community Development Corporation,"451 Van Houten Street Paterson, NJ 7501",(973) 710-3900,, M-F 9-5 p.m. Please call ahead of time.  
St. Paul's Episcopal Church,"321 E Market Street Jeffersonville, IN 47130",(812) 282-1108,, - Wednesday 4-6 (setup prior)  
"St. Paul's House, Inc.","335 W 51st Street New York, NY 10019",(212) 265-5433,http://www.saintpaulshouse.org/#/services/soup-kitchen,"Soup Kitchen: Monday, Wednesday, Friday 7:30am - 8:30am
Food Pantry: Tuesday 10am-11am "
St. Paul's Lutheran Church,"5918 North 5th Street Philadelphia, PA 19120",(215) 424-4800,,M 9:00 AM-12:00 PM;  W 9:00 AM-12:00 PM;  
St. Paul's Lutheran Church,"1891 McGraw Avenue Bronx, NY 10462",(718) 822-4535,,Friday 8:30am - 10am.
St. Paul's Methodist Church South Shore Food Pantry,"7558 Amboy Road New York, NY 10307",(718) 227-2485,,Tuesday 10am - 2pm   Thursday 10am-2pm 
St. Paul's Outreach,"1010 W 4th st Wilmington, DE 19805",(302) 378-2420,http://www.stpaulsodessa.org/," mon, wed: 9-12  "
St. Paul-Ramsey County Public Health-WIC (421),"555 Cedar Street St. Paul, MN 55101",(651) 266-1300,https://www.ramseycounty.us/residents/assistance-support/assistance/financial-assistance/food-assistance,
St. Peter Catholic Church,"2700 East 4th Street Greenville, NC 27834",(252) 757-3259,, every other Tues 10-12  
St. Peter Chanel Parish Food Pantry,"70 Main St Van Buren, ME 04785",(207) 868-2805,,
St. Peter Church of Deliverance,"P.o. Box 56 Augusta, WV 26704",(304) 496-7850,,
St. Peter's Community Food Bank,"1201 Courthouse Rd. Stafford, VA 22554",(540) 659-6366,,
St. Peter's Episcopal Church,"346 West 20th Street New York, NY 10011",(212) 929-2390,,Monday to Friday 10:00am to 11:00am
St. Peter's Episcopal Church in the Bronx,"2500 Westchester Avenue Bronx, NY 10461",(718) 931-9270,,"Soup Kitchen: Thursday 12pm-2pm
Food Pantry: 3rd Tuesday 10am-12pm"
St. Peter's Food Cupboard - Food Pantry,"313 Pine Street Philadelphia, PA 19106",(215) 925-5968,,"SA 8:00 AM-10:00 AM;  
"
St. Peter's Food Pantry,"91 Ludlow Street Yonkers, NY 10705",(914) 963-0822,,
St. Peter's Food Pantry,"346 W 20th Street New York, NY 10011",(212) 929-2390,http://www.stpeterschelsea.org/food-pantry.html,Food Pantry: Wednesday 10am-11am; Saturday 10:30am-11:30am.
St. Peter's In The Bronx Church and Community Center,"427 E. 140th St. Bronx, NY 10454",(718) 402-5510,,
St. Peter's Lutheran Church,"619 Lexington Avenue New York, NY 10022",(212) 935-2200,,Tuesday 7am-8:15am (breakfast).
